index,post_text
42,Many youths protested the government because the government failed to govern the country. The economy is damaged but he died with a police gun under government control. It's too depressing! 
43,"We lost our Democracy, Human Right, Education, Healthy, Economy and Generation.Military dictatorships should end in every country"
44,"Of course, most of educated  have budgets to pay their own bills on extra class. Dictatorship provides no shit on education. "
45,Thailand are furious when knowing the TH govt approved for buying submarines (worth AUD 1 billion) in stead of putting the budget in education or healthcare.
46,How can we hope for Thai education system to talk about respecting cultural diversity when the thing we're still currently fighting for = basic human rights and freedom of speech? The government and the leaders can't even respect that.
47,"Thailand is a very bad country. because there is a prime minister who runs the country very foolishly There is a lot of corruption, tax fraud, bad habits, very low education, not suitable for the country's executives."
48,"Here in Thailand, students are taught that teachers should be worshipped & obeyed. Teachers often abuse that power. As part of the broader pro-democracy movement, today Thai students marched in solidarity against the Minister of Education."
49,The government has to really look after international gatherings. Stop killing just  want to claim their rights and freedoms. 
50,"The military government is ruining the democracy, they are using the law as an instrument of oppression. Now They are arresting for publicly criticizing them."
51,"The violence by the Thai police today includes: Shooting rubber bullets at close range & at faces at protesters. Beating protesters, journalists & an elderly monk. #WhatsHappeningInThailand "
52,Many victims spoke out lately for shocking news. Male anti-government members used status of activists to take sexual advantages of women. Some victims spoke out that they didn’t even consent with sex. Shame!!! #WhatsHappeningInThailand 
53,"I have been taught police are supposed to help civilians, but not with my country, Thailand, where police hurt and abuse civilians. I used to believe there is hope for my country, but now that hope is slightly fading away  #WhatsHappeningInThailand"
54,"Eight years have passed since Prayut coup. And now he is still prime minister following a decision from the Constitutional Court appointed by the coup junta. Yes, this is Thailand. #whatshappeninginthailand"
55,The Thai government just cannot stop abusing their power again and again. #WhatsHappeningInThailand
56,Not only Thai citizen have to pay for mRNA vaccine but also have to wait for ages. Where is our Moderna? This is our life not your stupid politics game! THAI GOVERNMENT SHOULD GO TO HELL.#WhatsHappeningInThailand
57,Police use violence against people. #WhatsHappeningInThailand
58,Painful!😥 It's the extreme violence against human rights. I hope the world community will stand by human rights and democracy movement in Thailand. #WhatsHappeningInThailand
59,"Today the court has ruled that those who wish to reform the monarchy become rebellious. Okay, now I am a rebel 😞#WhatsHappeningInThailand"
60,I want to tell the police that A police career should be as human as possible. But now there is no human There is only savagery #WhatsHappeningInThailand
61,"#WhatsHappeningInThailand They say The children are the future of the nation, but they arrested lots of youths, so how reliable is it?"
62,"for the nth time, this is beyond humanity. the police even took medical team who were there stand-by with the protesters in case of injuries under control. it is unacceptable.  #WhatsHappeningInThailand"
63,Peaceful march. No violence. We cannot even protect our rights? Cannot express our political views? Did you say Thailand is a democratic country? How many times has THIS been happening? And you want RESPECT from us!?! really? government? #WhatsHappeningInThailand
64,"Having a mob never does any harm. But when the police tried to disperse the crowd injured Isn't that a fundamental right of people to express their opinions? If the government is really good, why do people criticize it? #WhatsHappeningInThailand"
65,"Thai police brutality!!! Thailand is NOT the land of smiles, but officially the land of BARBARISM #WhatsHappeningInThailand"
66,Reform is not overthrowing the monarchy or treasonous act to the state. #ThaiProtest movement just wants real democracy after endless row of coups and military influenced governments. #WhatsHappeningInThailand
67,"It is the middle of the night in Thailand, but under the circumstances, police have used weapons to attack people in Thailand. Please help us🙏🏻#WhatsHappeningInThailand"
68,Thai police unnecessarily shot someone with real bullets and now they are deceased. This police brutality is getting worse in Thailand and now someone lost their live for just going out to get their basic rights of living. Rest in peace. #WhatsHappeningInThailand
69,Now we have unemployment problem due to the failed administration of General Prayut Chan-ocha government. Can you guys help us? I want you guys to see in these hashtags in twitter  #WhatsHappeningInThailand
70,"Given a graffiti on the walls, burn down government properties, blocking roads and harassing opponents does not make any changes. Preserving your rights, by violated many rights of the others and disobey the laws? Ironic. #WhatsHappeningInThailand"
71,#Thailand abject failure to ban plastic bags makes most Thais despair and is a pitiful indictment of a system that's been broken for decades. #WhatsHappeningInThailand
72,"Her family support military junta that drags Thailand to be like this - loss our freedom, our human right, and our democracy so we, thai people, will not support her. If you want to know more details just come and look here #WhatsHappeningInThailand "
73,"Regularly, Thai protesters are opposing an ineffective government that is unable to tackle the issues of COVID. The world must know that Thailand is in a grave situation and please pray for Thailand to achieve peace and real democracy. #WhatsHappeningInThailand "
74,People want democracy But the police and the military came to oppress the people just because they exercised their right to demand democracy.  #WhatsHappeningInThailand 
75,Police are killers #WhatsHappeningInThailand
76,#WhatsHappeningInThailand In this country police treated caught-on-camera police like a VIP and treated an unarmed pro-democracy protester like a terrorist. #WhatsHappeningInThailand
77,"From what I have observed, Thailand is slowly becoming a country like Myanmar and North Korea where human rights are now being taken away from them. Freedom of Speech is supposed to be a basic human right that. #WhatsHappeningInThailand"
78,"Thai police will enforce laws that are unfair to the people. Why do Thai police like to use violence against unarmed people? Today's mob is a non-violent carmob, why did you shoot us. #WhatsHappeningInThailand"
79,Thai Government is probably at best guessing and at worst making it up. And the ultimate result is almost like they enjoy being drunk with power!!! This must not be tolerated anymore. 🇹🇭🇹🇭🇹🇭#WhatsHappeningInThailand
80,"This is 2021! For the sake of humanity, I hope to see us Thais from all walks of life value the lives of people over the burned portrait of the parasite; yes, in a so-called Buddhist society. #WhatsHappeningInThailand"
81,"Fuck you Thai government and the elites who control them. Fire is catching and if we burn, you burn with us. #WhatsHappeningInThailand"
82,We do not want victory We want the whole world to know that #WhatsHappeningInThailand The government is killing people. please help us….
83,Violence is not the solutions ! Government of Thailand is trash ! #WhatsHappeningInThailand
84,The situation in Thailand is not even something recent. Now we are in a pandemic but cannot get vaccines that would not KILL us. Now yet ANOTHER protest is being cracked down by the police with force. #WhatsHappeningInThailand
85,there are innocent protestors and journalists thailand that are being shot with rubber bullets and by the police. they are also using tear gas and water sprinklers to break the protest and injure those involved #WhatsHappeningInThailand 
86,Do you think the government leaders will not know #WhatsHappeningInThailand outside the APEC conference room if you just forcefully push the crowds back down? Ridiculous.
87,violence is the PROBLEM NOT the solution #WhatsHappeningInThailand
88,"There are a lot of policemen scattered around the Uni. We are supposed to feel safe, right? But I am feeling the other way. 😵‍💫😵‍💫😵‍💫#WhatsHappeningInThailand"
89,Its not what he wear but what he did. The goal for doing such things was obvious and that is why he had been charged for 112 Act.  #WhatsHappeningInThailand
90,"Kids in UK dressed like a queen, and they got praised by the queen herself when someone in Thailand wear Thi costumes was put into jail with the fucking 112 law what the actual FUCK? #WhatsHappeningInThailand"
91,Get rid of all politicians. Use a different system online only referendums on everything overseen by monitors on a capped wage #WhatsHappeningInThailand
92,Thai Monarchy is sitting on a personal fortune of more than 30 billion dollars yet Thai girls are prostituting themselves to foreign tourists. Disgusting. #whatshappeninginthailand
93,The democracy make to difference but not Thailand. #WhatsHappeningInThailand
94,In Thailand we have many cases of people dehumanised by the gov and the monarch. #WhatsHappeningInThailand
95,"We need a democracy, not a dictatorship #WhatsHappeningInThailand"
96,"People who were killed and injured in road accidents are always blamed for not taking enough precautions, and, instead of the incumbent car-centric and able-ist regime, those who are unfit for or incapable of driving are always to told to fix themselves. #WhatsHappeninginThailand"
97,"For a long time, I felt unsure what the ratio was. But now I can genuinely, confidently say I think more Thais want freedom of speech and an end to our current system than those who do not. #WhatsHappeningInThailand"
98,"Thai citizens have the rights to protest, but Thai police were armed and hurt people by using tear gas, shooting rubber guns, and many more harmful weapons towards people AGAINST the law. Many people including kids got hurt and injured during the protest #WhatsHappeningInThailand"
99,We did not treat police as enemies. It is opposite of what happened. They treated us civilians as their enemies #WhatsHappeningInThailand
100,"Having a mob never does any harm. But when the police tried to disperse the crowd injured Isn't that a fundamental right of people to express their opinions? If the government is really good, why do people criticize it? #whatshappeninginthailand"
